funcion;CPU;RAMi;RAMf;Diff;Tiempo (ms)
convert_video avi2mp4;49,00%;5643359375;5666796875;23,00%;1320980
get_last_video;8,00%;5655078125;566796875;13,00%;3,21
main;12,00%;573125;670625;8,00%;8,82
main;7,00%;5770703125;5822265625;5,20%;4,07
main;0,00%;572265625;578359375;6,10%;4,015
main;0,00%;5728125;5775390625;4,70%;1,241
main;9,33%;58125;58453125;3,30%;1,057
main;0,00%;6000390625;6009375;9,00%;9,42
main;0,00%;587734375;5932421875;5,50%;3,71
main;0,00%;600859375;60546875;4,60%;4,081
main;0,00%;6122265;6175229;5,30%;1,981
main;0,00%;6215625;7315625;2,90%;3,843
main;6,87%;6736328125;6764453125;2,80%;5,164
;;;;;
;;;;;
;;;;;
Separar porcentaje en graficas diferentes;;;;;
Sacar grafica de tiempo por funcion;;;;;
